ID	Counts
66198_x1_FemaleLG_17_FemalePos_95.68_MaleLG_NA_MalePos_NA_duplicated_no	81
66417_x1_FemaleLG_2_FemalePos_126.15_MaleLG_NA_MalePos_NA_duplicated_no	81
68986_x1_FemaleLG_20_FemalePos_0.92_MaleLG_20_MalePos_57.28_duplicated_no	2
69235_x1_FemaleLG_20_FemalePos_77.79_MaleLG_NA_MalePos_NA_duplicated_no	9
694_x1_FemaleLG_2_FemalePos_81.1_MaleLG_NA_MalePos_NA_duplicated_no	55
6966_x1_FemaleLG_28_FemalePos_122.78_MaleLG_NA_MalePos_NA_duplicated_no	49
69839_x1_FemaleLG_11_FemalePos_3.24_MaleLG_NA_MalePos_NA_duplicated_no	6
69876_x1_FemaleLG_8_FemalePos_9.73_MaleLG_NA_MalePos_NA_duplicated_no	5
69926_x1_FemaleLG_10_FemalePos_76.26_MaleLG_NA_MalePos_NA_duplicated_no	1
70025_x1_FemaleLG_19_FemalePos_107.94_MaleLG_NA_MalePos_NA_duplicated_no	1
70513_x1_FemaleLG_12_FemalePos_129.58_MaleLG_NA_MalePos_NA_duplicated_no	3
71035_x1_FemaleLG_3_FemalePos_138.85_MaleLG_NA_MalePos_NA_duplicated_no	1
71347_x1_FemaleLG_13_FemalePos_53.22_MaleLG_NA_MalePos_NA_duplicated_no	1
71787_x1_FemaleLG_19_FemalePos_0_MaleLG_NA_MalePos_NA_duplicated_no	1
73175_x1_FemaleLG_24_FemalePos_22.18_MaleLG_NA_MalePos_NA_duplicated_no	1
73217_x1_FemaleLG_4_FemalePos_5.64_MaleLG_NA_MalePos_NA_duplicated_no	1
73223_x1_FemaleLG_16_FemalePos_64.41_MaleLG_NA_MalePos_NA_duplicated_no	1
73750_x1_FemaleLG_15_FemalePos_123.11_MaleLG_NA_MalePos_NA_duplicated_no	827
74823_x1_FemaleLG_4_FemalePos_26.92_MaleLG_NA_MalePos_NA_duplicated_no	1353
75106_x1_FemaleLG_17_FemalePos_92.59_MaleLG_17_MalePos_47.24_duplicated_no	526
77322_x1_FemaleLG_2_FemalePos_9.04_MaleLG_NA_MalePos_NA_duplicated_no	3
77389_x1_FemaleLG_7_FemalePos_130.42_MaleLG_7_MalePos_140.8_duplicated_no	329
77537_x1_FemaleLG_7_FemalePos_0.65_MaleLG_7_MalePos_18.19_duplicated_no	2
77739_x1_FemaleLG_24_FemalePos_59.65_MaleLG_24_MalePos_74.04_duplicated_no	326
79678_x1_FemaleLG_11_FemalePos_46.79_MaleLG_NA_MalePos_NA_duplicated_no	490
80347_x1_FemaleLG_24_FemalePos_10.11_MaleLG_24_MalePos_73.71_duplicated_no	491
80427_x1_FemaleLG_13_FemalePos_31.3_MaleLG_NA_MalePos_NA_duplicated_no	1
82797_x1_FemaleLG_15_FemalePos_23.86_MaleLG_15_MalePos_26.56_duplicated_no	15
83277_x1_FemaleLG_1_FemalePos_44.37_MaleLG_NA_MalePos_NA_duplicated_no	15
84361_x1_FemaleLG_22_FemalePos_2.27_MaleLG_22_MalePos_14.96_duplicated_no	1541
85113_x1_FemaleLG_11_FemalePos_120.3_MaleLG_NA_MalePos_NA_duplicated_no	1541
9094_x1_FemaleLG_9.5_FemalePos_42.23_MaleLG_NA_MalePos_NA_duplicated_no	3380
91014_x1_FemaleLG_19_FemalePos_79.82_MaleLG_NA_MalePos_NA_duplicated_no	3381
91174_x1_FemaleLG_4_FemalePos_116.64_MaleLG_NA_MalePos_NA_duplicated_no	1
CM007936.1_49191445	2
CM007937.1_46498807	2
CM007939.1_22667021	1
CM007943.1_20956599	1
CM007945.1_73355502	26
CM007946.1_50042193	1
CM007951.1_45932807	3139
CM007952.1_31025908	27
CM007952.1_40684241	1
CM007953.1_52343952	3138
CM007954.1_26490626	1
CM007957.1_1049506	1
CM007959.1_58156760	1
CM007963.1_29424723	1
One_RAD56448	2
One_RAD72071	3
One_RAD82702	1
